Nazwa produktu;Producent;Kategoria;Wiek;wzrost_min;wzrost_max;Norma;System_monta¿u;Obrotowy;Cena;Link;Opis;Najwa¿niejsze_cechy;Zdjecie
Sorino Aurora Black - 40-150 cm;Sorino;Fotelik samochodowy;0-12 lat;40;150;iSize; ISOFIX;Tak;1399;https://sorino.eu/sorino-aurora-black-40-150;Sorino Aurora to fotelik samochodowy ³¹cz¹cy zaawansowane bezpieczeñstwo z codziennym komfortem u¿ytkowania, w pe³ni spe³niaj¹cy normê i-Size. Przeznaczony dla dzieci o wzroœcie od 40 do 150 cm. Obrotowa baza 360° sprawia, ¿e wk³adanie dziecka do fotelika jest szybkie i bezwysi³kowe. Dla zapewnienia komfortu Aurora oferuje 3 pozycje regulacji pochylenia zarówno w trybie jazdy ty³em, jak i przodem do kierunku jazdy, a tak¿e regulowany zag³ówek oraz automatyczne boczne rozszerzenia, gwarantuj¹ce idealne dopasowanie.;Sorino Aurora fotelik, który roœnie razem z dzieckiem. Fotelik oferuje regulacjê zag³ówka z automatycznie rozszerzaj¹cymi siê bokami, dziêki czemu idealnie dopasowuje siê do rosn¹cej sylwetki dziecka. Podczas jazdy ty³em, jak i przodem do kierunku jazdy, dostêpne s¹ 3 pozycje regulacji pochylenia, zapewniaj¹ce wygodê na ka¿dym etapie rozwoju. Stabilny monta¿ za pomoc¹ systemu ISOFIX gwarantuje bezpieczne i szybkie dopasowanie fotelika do samochodu. O komfort dziecka dba przewiewna tapicerka Mesh 3D, która wspiera cyrkulacjê powietrza i zapobiega przegrzewaniu. Dodatkow¹ ochronê zapewnia zag³ówek z piank¹ absorbuj¹c¹ energiê, wzmocniona ochrona boczna oraz szerokie zastosowanie pianki EPP, skutecznie poch³aniaj¹cej si³y uderzenia.;sorino_aurora_black.png
Sorino Aurora Chocolate - 40-150 cm;Sorino;Fotelik samochodowy;0-12 lat;40;150;iSize; ISOFIX;Tak;1399;https://sorino.eu/sorino-aurora-chocolate-40-150;Sorino Aurora to fotelik samochodowy ³¹cz¹cy zaawansowane bezpieczeñstwo z codziennym komfortem u¿ytkowania, w pe³ni spe³niaj¹cy normê i-Size. Przeznaczony dla dzieci o wzroœcie od 40 do 150 cm. Obrotowa baza 360° sprawia, ¿e wk³adanie dziecka do fotelika jest szybkie i bezwysi³kowe. Dla zapewnienia komfortu Aurora oferuje 3 pozycje regulacji pochylenia zarówno w trybie jazdy ty³em, jak i przodem do kierunku jazdy, a tak¿e regulowany zag³ówek oraz automatyczne boczne rozszerzenia, gwarantuj¹ce idealne dopasowanie.;Sorino Aurora fotelik, który roœnie razem z dzieckiem. Fotelik oferuje regulacjê zag³ówka z automatycznie rozszerzaj¹cymi siê bokami, dziêki czemu idealnie dopasowuje siê do rosn¹cej sylwetki dziecka. Podczas jazdy ty³em, jak i przodem do kierunku jazdy, dostêpne s¹ 3 pozycje regulacji pochylenia, zapewniaj¹ce wygodê na ka¿dym etapie rozwoju. Stabilny monta¿ za pomoc¹ systemu ISOFIX gwarantuje bezpieczne i szybkie dopasowanie fotelika do samochodu. O komfort dziecka dba przewiewna tapicerka Mesh 3D, która wspiera cyrkulacjê powietrza i zapobiega przegrzewaniu. Dodatkow¹ ochronê zapewnia zag³ówek z piank¹ absorbuj¹c¹ energiê, wzmocniona ochrona boczna oraz szerokie zastosowanie pianki EPP, skutecznie poch³aniaj¹cej si³y uderzenia.;sorino_aurora_chocolate.png
Sorino Aurora Grey - 40-150 cm;Sorino;Fotelik samochodowy;0-12 lat;40;150;iSize; ISOFIX;Tak;1399;https://sorino.eu/sorino-aurora-grey-40-150;Sorino Aurora to fotelik samochodowy ³¹cz¹cy zaawansowane bezpieczeñstwo z codziennym komfortem u¿ytkowania, w pe³ni spe³niaj¹cy normê i-Size. Przeznaczony dla dzieci o wzroœcie od 40 do 150 cm. Obrotowa baza 360° sprawia, ¿e wk³adanie dziecka do fotelika jest szybkie i bezwysi³kowe. Dla zapewnienia komfortu Aurora oferuje 3 pozycje regulacji pochylenia zarówno w trybie jazdy ty³em, jak i przodem do kierunku jazdy, a tak¿e regulowany zag³ówek oraz automatyczne boczne rozszerzenia, gwarantuj¹ce idealne dopasowanie.;Sorino Aurora fotelik, który roœnie razem z dzieckiem. Fotelik oferuje regulacjê zag³ówka z automatycznie rozszerzaj¹cymi siê bokami, dziêki czemu idealnie dopasowuje siê do rosn¹cej sylwetki dziecka. Podczas jazdy ty³em, jak i przodem do kierunku jazdy, dostêpne s¹ 3 pozycje regulacji pochylenia, zapewniaj¹ce wygodê na ka¿dym etapie rozwoju. Stabilny monta¿ za pomoc¹ systemu ISOFIX gwarantuje bezpieczne i szybkie dopasowanie fotelika do samochodu. O komfort dziecka dba przewiewna tapicerka Mesh 3D, która wspiera cyrkulacjê powietrza i zapobiega przegrzewaniu. Dodatkow¹ ochronê zapewnia zag³ówek z piank¹ absorbuj¹c¹ energiê, wzmocniona ochrona boczna oraz szerokie zastosowanie pianki EPP, skutecznie poch³aniaj¹cej si³y uderzenia.;sorino_aurora_grey.png
Sorino Aurora Mint - 40-150 cm;Sorino;Fotelik samochodowy;0-12 lat;40;150;iSize; ISOFIX;Tak;1399;https://sorino.eu/sorino-aurora-mint-40-150;Sorino Aurora to fotelik samochodowy ³¹cz¹cy zaawansowane bezpieczeñstwo z codziennym komfortem u¿ytkowania, w pe³ni spe³niaj¹cy normê i-Size. Przeznaczony dla dzieci o wzroœcie od 40 do 150 cm. Obrotowa baza 360° sprawia, ¿e wk³adanie dziecka do fotelika jest szybkie i bezwysi³kowe. Dla zapewnienia komfortu Aurora oferuje 3 pozycje regulacji pochylenia zarówno w trybie jazdy ty³em, jak i przodem do kierunku jazdy, a tak¿e regulowany zag³ówek oraz automatyczne boczne rozszerzenia, gwarantuj¹ce idealne dopasowanie.;Sorino Aurora fotelik, który roœnie razem z dzieckiem. Fotelik oferuje regulacjê zag³ówka z automatycznie rozszerzaj¹cymi siê bokami, dziêki czemu idealnie dopasowuje siê do rosn¹cej sylwetki dziecka. Podczas jazdy ty³em, jak i przodem do kierunku jazdy, dostêpne s¹ 3 pozycje regulacji pochylenia, zapewniaj¹ce wygodê na ka¿dym etapie rozwoju. Stabilny monta¿ za pomoc¹ systemu ISOFIX gwarantuje bezpieczne i szybkie dopasowanie fotelika do samochodu. O komfort dziecka dba przewiewna tapicerka Mesh 3D, która wspiera cyrkulacjê powietrza i zapobiega przegrzewaniu. Dodatkow¹ ochronê zapewnia zag³ówek z piank¹ absorbuj¹c¹ energiê, wzmocniona ochrona boczna oraz szerokie zastosowanie pianki EPP, skutecznie poch³aniaj¹cej si³y uderzenia.;sorino_aurora_mint.png
Sorino Aurora Mocha - 40-150 cm;Sorino;Fotelik samochodowy;0-12 lat;40;150;iSize; ISOFIX;Tak;1399;https://sorino.eu/sorino-aurora-mocha-40-150;Sorino Aurora to fotelik samochodowy ³¹cz¹cy zaawansowane bezpieczeñstwo z codziennym komfortem u¿ytkowania, w pe³ni spe³niaj¹cy normê i-Size. Przeznaczony dla dzieci o wzroœcie od 40 do 150 cm. Obrotowa baza 360° sprawia, ¿e wk³adanie dziecka do fotelika jest szybkie i bezwysi³kowe. Dla zapewnienia komfortu Aurora oferuje 3 pozycje regulacji pochylenia zarówno w trybie jazdy ty³em, jak i przodem do kierunku jazdy, a tak¿e regulowany zag³ówek oraz automatyczne boczne rozszerzenia, gwarantuj¹ce idealne dopasowanie.;Sorino Aurora fotelik, który roœnie razem z dzieckiem. Fotelik oferuje regulacjê zag³ówka z automatycznie rozszerzaj¹cymi siê bokami, dziêki czemu idealnie dopasowuje siê do rosn¹cej sylwetki dziecka. Podczas jazdy ty³em, jak i przodem do kierunku jazdy, dostêpne s¹ 3 pozycje regulacji pochylenia, zapewniaj¹ce wygodê na ka¿dym etapie rozwoju. Stabilny monta¿ za pomoc¹ systemu ISOFIX gwarantuje bezpieczne i szybkie dopasowanie fotelika do samochodu. O komfort dziecka dba przewiewna tapicerka Mesh 3D, która wspiera cyrkulacjê powietrza i zapobiega przegrzewaniu. Dodatkow¹ ochronê zapewnia zag³ówek z piank¹ absorbuj¹c¹ energiê, wzmocniona ochrona boczna oraz szerokie zastosowanie pianki EPP, skutecznie poch³aniaj¹cej si³y uderzenia.;sorino_aurora_mocha.png
Sorino Aurora Pink - 40-150 cm;Sorino;Fotelik samochodowy;0-12 lat;40;150;iSize; ISOFIX;Tak;1399;https://sorino.eu/sorino-aurora-pink-40-150;Sorino Aurora to fotelik samochodowy ³¹cz¹cy zaawansowane bezpieczeñstwo z codziennym komfortem u¿ytkowania, w pe³ni spe³niaj¹cy normê i-Size. Przeznaczony dla dzieci o wzroœcie od 40 do 150 cm. Obrotowa baza 360° sprawia, ¿e wk³adanie dziecka do fotelika jest szybkie i bezwysi³kowe. Dla zapewnienia komfortu Aurora oferuje 3 pozycje regulacji pochylenia zarówno w trybie jazdy ty³em, jak i przodem do kierunku jazdy, a tak¿e regulowany zag³ówek oraz automatyczne boczne rozszerzenia, gwarantuj¹ce idealne dopasowanie.;Sorino Aurora fotelik, który roœnie razem z dzieckiem. Fotelik oferuje regulacjê zag³ówka z automatycznie rozszerzaj¹cymi siê bokami, dziêki czemu idealnie dopasowuje siê do rosn¹cej sylwetki dziecka. Podczas jazdy ty³em, jak i przodem do kierunku jazdy, dostêpne s¹ 3 pozycje regulacji pochylenia, zapewniaj¹ce wygodê na ka¿dym etapie rozwoju. Stabilny monta¿ za pomoc¹ systemu ISOFIX gwarantuje bezpieczne i szybkie dopasowanie fotelika do samochodu. O komfort dziecka dba przewiewna tapicerka Mesh 3D, która wspiera cyrkulacjê powietrza i zapobiega przegrzewaniu. Dodatkow¹ ochronê zapewnia zag³ówek z piank¹ absorbuj¹c¹ energiê, wzmocniona ochrona boczna oraz szerokie zastosowanie pianki EPP, skutecznie poch³aniaj¹cej si³y uderzenia.;sorino_aurora_pink.png
Sorino Ceres Black;Sorino;Fotelik samochodowy;4-12 lat;100;150;iSize; ISOFIX, pasów 3-punktowych lub samych pasów;Nie;499;https://sorino.eu/sorino-ceres-black-100-150;Sorino Ceres to nowoczesny fotelik samochodowy zaprojektowany z myœl¹ o bezpieczeñstwie, komforcie i funkcjonalnoœci. Zgodny z europejsk¹ norm¹ i-Size, przeznaczony dla dzieci o wzroœcie od 100 do 150 cm (czyli od oko³o 4 do 12 lat), zapewnia doskona³¹ ochronê i wygodê na ka¿dym etapie rozwoju dziecka.;Zgodnoœæ z norm¹ i-Size – spe³nia rygorystyczne wymagania bezpieczeñstwa. Zakres wzrostu 100–150 cm – idealny dla dzieci od 4 do 12 lat. 11-stopniowa regulacja zag³ówka – ³atwe dopasowanie do zmieniaj¹cego siê wzrostu dziecka. 7-stopniowa regulacja oparcia – gwarancja wygodnej pozycji w ka¿dej podró¿y. Monta¿ za pomoc¹ ISOFIX i pasów 3-punktowych lub samych pasów – bezpieczne i elastyczne dopasowanie do ka¿dego auta. Automatycznie wysuwany system ISOFIX – szybki, intuicyjny monta¿ bez zbêdnego wysi³ku, dziêki dŸwigni umieszczonej z przodu fotelika.;sorino_ceres_black.png
Sorino Ceres Black/Grey;Sorino;Fotelik samochodowy;4-12 lat;100;150;iSize; ISOFIX, pasów 3-punktowych lub samych pasów;Nie;499;https://sorino.eu/ceres-black-grey-100-150;Sorino Ceres to nowoczesny fotelik samochodowy zaprojektowany z myœl¹ o bezpieczeñstwie, komforcie i funkcjonalnoœci. Zgodny z europejsk¹ norm¹ i-Size, przeznaczony dla dzieci o wzroœcie od 100 do 150 cm (czyli od oko³o 4 do 12 lat), zapewnia doskona³¹ ochronê i wygodê na ka¿dym etapie rozwoju dziecka.;Zgodnoœæ z norm¹ i-Size – spe³nia rygorystyczne wymagania bezpieczeñstwa. Zakres wzrostu 100–150 cm – idealny dla dzieci od 4 do 12 lat. 11-stopniowa regulacja zag³ówka – ³atwe dopasowanie do zmieniaj¹cego siê wzrostu dziecka. 7-stopniowa regulacja oparcia – gwarancja wygodnej pozycji w ka¿dej podró¿y. Monta¿ za pomoc¹ ISOFIX i pasów 3-punktowych lub samych pasów – bezpieczne i elastyczne dopasowanie do ka¿dego auta. Automatycznie wysuwany system ISOFIX – szybki, intuicyjny monta¿ bez zbêdnego wysi³ku, dziêki dŸwigni umieszczonej z przodu fotelika.;sorino_ceres_black_grey.png
Sorino Ceres Dark/Grey;Sorino;Fotelik samochodowy;4-12 lat;100;150;iSize; ISOFIX, pasów 3-punktowych lub samych pasów;Nie;499;https://sorino.eu/ceres-dark-grey-100-150;Sorino Ceres to nowoczesny fotelik samochodowy zaprojektowany z myœl¹ o bezpieczeñstwie, komforcie i funkcjonalnoœci. Zgodny z europejsk¹ norm¹ i-Size, przeznaczony dla dzieci o wzroœcie od 100 do 150 cm (czyli od oko³o 4 do 12 lat), zapewnia doskona³¹ ochronê i wygodê na ka¿dym etapie rozwoju dziecka.;Zgodnoœæ z norm¹ i-Size – spe³nia rygorystyczne wymagania bezpieczeñstwa. Zakres wzrostu 100–150 cm – idealny dla dzieci od 4 do 12 lat. 11-stopniowa regulacja zag³ówka – ³atwe dopasowanie do zmieniaj¹cego siê wzrostu dziecka. 7-stopniowa regulacja oparcia – gwarancja wygodnej pozycji w ka¿dej podró¿y. Monta¿ za pomoc¹ ISOFIX i pasów 3-punktowych lub samych pasów – bezpieczne i elastyczne dopasowanie do ka¿dego auta. Automatycznie wysuwany system ISOFIX – szybki, intuicyjny monta¿ bez zbêdnego wysi³ku, dziêki dŸwigni umieszczonej z przodu fotelika.;sorino_ceres_dark_grey.png
Sorino Ceres Light/Grey;Sorino;Fotelik samochodowy;4-12 lat;100;150;iSize; ISOFIX, pasów 3-punktowych lub samych pasów;Nie;499;https://sorino.eu/ceres-light-grey-100-150;Sorino Ceres to nowoczesny fotelik samochodowy zaprojektowany z myœl¹ o bezpieczeñstwie, komforcie i funkcjonalnoœci. Zgodny z europejsk¹ norm¹ i-Size, przeznaczony dla dzieci o wzroœcie od 100 do 150 cm (czyli od oko³o 4 do 12 lat), zapewnia doskona³¹ ochronê i wygodê na ka¿dym etapie rozwoju dziecka.;Zgodnoœæ z norm¹ i-Size – spe³nia rygorystyczne wymagania bezpieczeñstwa. Zakres wzrostu 100–150 cm – idealny dla dzieci od 4 do 12 lat. 11-stopniowa regulacja zag³ówka – ³atwe dopasowanie do zmieniaj¹cego siê wzrostu dziecka. 7-stopniowa regulacja oparcia – gwarancja wygodnej pozycji w ka¿dej podró¿y. Monta¿ za pomoc¹ ISOFIX i pasów 3-punktowych lub samych pasów – bezpieczne i elastyczne dopasowanie do ka¿dego auta. Automatycznie wysuwany system ISOFIX – szybki, intuicyjny monta¿ bez zbêdnego wysi³ku, dziêki dŸwigni umieszczonej z przodu fotelika.;sorino_ceres_light_grey.png
Sorino Ceres Beige;Sorino;Fotelik samochodowy;4-12 lat;100;150;iSize; ISOFIX, pasów 3-punktowych lub samych pasów;Nie;499;https://sorino.eu/ceres-beige-100-150;Sorino Ceres to nowoczesny fotelik samochodowy zaprojektowany z myœl¹ o bezpieczeñstwie, komforcie i funkcjonalnoœci. Zgodny z europejsk¹ norm¹ i-Size, przeznaczony dla dzieci o wzroœcie od 100 do 150 cm (czyli od oko³o 4 do 12 lat), zapewnia doskona³¹ ochronê i wygodê na ka¿dym etapie rozwoju dziecka.;Zgodnoœæ z norm¹ i-Size – spe³nia rygorystyczne wymagania bezpieczeñstwa. Zakres wzrostu 100–150 cm – idealny dla dzieci od 4 do 12 lat. 11-stopniowa regulacja zag³ówka – ³atwe dopasowanie do zmieniaj¹cego siê wzrostu dziecka. 7-stopniowa regulacja oparcia – gwarancja wygodnej pozycji w ka¿dej podró¿y. Monta¿ za pomoc¹ ISOFIX i pasów 3-punktowych lub samych pasów – bezpieczne i elastyczne dopasowanie do ka¿dego auta. Automatycznie wysuwany system ISOFIX – szybki, intuicyjny monta¿ bez zbêdnego wysi³ku, dziêki dŸwigni umieszczonej z przodu fotelika.;sorino_ceres_beige.png
Sorino Ceres Red;Sorino;Fotelik samochodowy;4-12 lat;100;150;iSize; ISOFIX, pasów 3-punktowych lub samych pasów;Nie;499;https://sorino.eu/ceres-red-100-150;Sorino Ceres to nowoczesny fotelik samochodowy zaprojektowany z myœl¹ o bezpieczeñstwie, komforcie i funkcjonalnoœci. Zgodny z europejsk¹ norm¹ i-Size, przeznaczony dla dzieci o wzroœcie od 100 do 150 cm (czyli od oko³o 4 do 12 lat), zapewnia doskona³¹ ochronê i wygodê na ka¿dym etapie rozwoju dziecka.;Zgodnoœæ z norm¹ i-Size – spe³nia rygorystyczne wymagania bezpieczeñstwa. Zakres wzrostu 100–150 cm – idealny dla dzieci od 4 do 12 lat. 11-stopniowa regulacja zag³ówka – ³atwe dopasowanie do zmieniaj¹cego siê wzrostu dziecka. 7-stopniowa regulacja oparcia – gwarancja wygodnej pozycji w ka¿dej podró¿y. Monta¿ za pomoc¹ ISOFIX i pasów 3-punktowych lub samych pasów – bezpieczne i elastyczne dopasowanie do ka¿dego auta. Automatycznie wysuwany system ISOFIX – szybki, intuicyjny monta¿ bez zbêdnego wysi³ku, dziêki dŸwigni umieszczonej z przodu fotelika.;sorino_ceres_red.png
